GEOID,X,Y
4703700000686_8,-86.75075123810,36.16351852250
4703700000686_9,-86.75412098530,36.17028284330
4703700000686_10,-86.75464696060,36.16479933490
4703700000684_1,-86.74681773980,36.17376148540
4703700000684_2,-86.74854587340,36.17350661620
4703700000684_3,-86.75285894300,36.17176786510
4703700000684_4,-86.75332655630,36.17176018990
4703700000684_5,-86.75498289470,36.17231253170
4703700000684_6,-86.74702893820,36.17106253190
4703700000684_7,-86.75693322520,36.17159599450
4703700000684_8,-86.75421288250,36.17099669280
4703700000684_9,-86.75599269590,36.17014554140
4703700000684_10,-86.75551609000,36.17267938630
4703700000757_1,-86.74146519610,36.14654268310
4703700000757_2,-86.74928008380,36.15240119760
4703700000757_3,-86.73289006600,36.15302445630
4703700000757_4,-86.72715223910,36.14812463090
4703700000757_5,-86.74326779890,36.15202243880
4703700000757_6,-86.74411945700,36.15136981880
4703700000757_7,-86.75165210220,36.15267494920
4703700000757_8,-86.72437447050,36.15027578580
4703700000757_9,-86.73494038270,36.14698903230
4703700000757_10,-86.72664415670,36.15005876200
4703700000414_1,-86.74810864980,36.14692353660
4703700000414_2,-86.74663155790,36.14703477480
4703700000414_3,-86.74994075750,36.14600145850
4703700000414_4,-86.74448418360,36.14700692140
4703700000414_5,-86.74962437350,36.14585810710
4703700000414_6,-86.75076207660,36.14888948560
4703700000414_7,-86.75208576430,36.14840815030
4703700000414_8,-86.75445225840,36.14672005250
4703700000414_9,-86.74942749710,36.15058577140
4703700000414_10,-86.75468896880,36.14882004630
4703700000412_1,-86.75069579100,36.13866848740
4703700000412_2,-86.74917309490,36.14220387930
4703700000412_3,-86.74918009710,36.14435455770
4703700000412_4,-86.74985983980,36.14278326120
4703700000412_5,-86.74668561410,36.13905033090
4703700000412_6,-86.74934854040,36.14432736710
4703700000412_7,-86.75284919000,36.13872898190
4703700000412_8,-86.74615708260,36.14160197910
4703700000412_9,-86.75208700960,36.14199471230
4703700000412_10,-86.75051270060,36.14451236350
4703700000415_1,-86.74213442460,36.14240359740
4703700000415_2,-86.73997807860,36.14171547730
4703700000415_3,-86.74305837090,36.14422595920
4703700000415_4,-86.73968301220,36.14201855240
4703700000415_5,-86.74044425180,36.14398687500
4703700000415_6,-86.72810753370,36.13751549540
4703700000415_7,-86.73059823990,36.13999532470
4703700000415_8,-86.73525663060,36.14038027080
4703700000415_9,-86.73058080360,36.13851962260
4703700000415_10,-86.74270459840,36.14524257960
4703700000685_1,-86.75347589500,36.16968534980
4703700000685_2,-86.74791349690,36.16601138070
4703700000685_3,-86.74835999920,36.16906824690
4703700000685_4,-86.75225819180,36.16816309280
4703700000685_5,-86.74836393000,36.16476135350
