Feeder Line,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,,,
HomeSequence,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,1,1,2,3,4,5,6,7,7,8,9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,,,
Total annual consumption(KWH),,,3116,52770,4752,4045,5431,5430,5988,3232,3596,3899,3269,4218,3287,5277,4066,4926,3689,3947,3883,3531,4434,5453,4085,44960,5858,4722,4339,3819,39630,4662,5745,3612,4424,54050,3239,3621,3878,5793,3649,3521,5646,5495,4344,5930,4007,5212,5598,5862,3128,4585,36840,5038,5282,5879,4074,5315,4989,41450,,5282,3719,3043,3160,4819,5985,5835,3229,5611,4437,3368,3123,4196,3197,4375,3716,,4395,52210,5378,5907,3548,4476,3398,4945,5923,3101,5085,3101,4918,5991,5554,3374,,3936,4965,4440,4615,4105,3892,3658,,,
Peak Production Capacity (KWH),9.36,79.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,9.54,,,,,,,,,,,,,,,,,14.4,,,,,,,,,Total Production,Total Consumption
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:45,7.7,65.1,0.5,11,0.7,0.6,0.8,0.8,0.9,0.5,0.5,0.6,0.5,0.6,0.5,0.8,0.6,0.7,0.5,0.6,0.6,0.5,0.6,0.8,0.6,9.4,0.9,0.7,0.6,0.6,8.3,0.7,0.8,0.5,0.6,11.3,0.5,0.5,0.6,0.8,0.5,0.5,0.8,0.8,0.6,0.9,0.6,0.8,0.8,0.9,0.5,0.7,7.7,0.7,0.8,0.9,0.6,0.8,0.7,8.6,24.7,0.8,0.5,0.4,0.5,0.7,0.9,0.9,0.5,0.8,0.7,0.5,0.5,0.6,0.5,0.6,0.5,7.9,0.6,10.9,0.8,0.9,0.5,0.7,0.5,0.7,0.9,0.5,0.7,0.5,0.7,0.9,0.8,0.5,11.9,0.6,0.7,0.7,0.7,0.6,0.6,0.5,,117.3,126.2
12:00,8.1,68.1,0.5,10.8,0.7,0.6,0.8,0.8,0.9,0.5,0.5,0.6,0.5,0.6,0.5,0.8,0.6,0.7,0.6,0.6,0.6,0.5,0.7,0.8,0.6,9.2,0.9,0.7,0.7,0.6,8.1,0.7,0.9,0.5,0.7,11.1,0.5,0.5,0.6,0.9,0.6,0.5,0.9,0.8,0.7,0.9,0.6,0.8,0.8,0.9,0.5,0.7,7.6,0.8,0.8,0.9,0.6,0.8,0.8,8.5,25.8,0.8,0.6,0.5,0.5,0.7,0.9,0.9,0.5,0.9,0.7,0.5,0.5,0.6,0.5,0.7,0.6,8.2,0.7,10.7,0.8,0.9,0.5,0.7,0.5,0.7,0.9,0.5,0.8,0.5,0.7,0.9,0.8,0.5,12.4,0.6,0.8,0.7,0.7,0.6,0.6,0.6,,122.6,127
12:15,8.4,70.7,0.5,10.6,0.7,0.6,0.9,0.9,0.9,0.5,0.6,0.6,0.5,0.7,0.5,0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.9,0.6,9,0.9,0.7,0.7,0.6,7.9,0.7,0.9,0.6,0.7,10.8,0.5,0.6,0.6,0.9,0.6,0.6,0.9,0.9,0.7,0.9,0.6,0.8,0.9,0.9,0.5,0.7,7.4,0.8,0.8,0.9,0.6,0.8,0.8,8.3,26.8,0.8,0.6,0.5,0.5,0.8,0.9,0.9,0.5,0.9,0.7,0.5,0.5,0.7,0.5,0.7,0.6,8.5,0.7,10.4,0.8,0.9,0.6,0.7,0.5,0.8,0.9,0.5,0.8,0.5,0.8,0.9,0.9,0.5,12.9,0.6,0.8,0.7,0.7,0.6,0.6,0.6,,127.3,127.2
12:30,8.6,73,0.5,10.2,0.8,0.7,0.9,0.9,1,0.5,0.6,0.6,0.5,0.7,0.5,0.8,0.7,0.8,0.6,0.6,0.6,0.6,0.7,0.9,0.7,8.7,0.9,0.8,0.7,0.6,7.7,0.7,0.9,0.6,0.7,10.5,0.5,0.6,0.6,0.9,0.6,0.6,0.9,0.9,0.7,1,0.6,0.8,0.9,0.9,0.5,0.7,7.1,0.8,0.8,0.9,0.7,0.9,0.8,8,27.7,0.8,0.6,0.5,0.5,0.8,1,0.9,0.5,0.9,0.7,0.5,0.5,0.7,0.5,0.7,0.6,8.8,0.7,10.1,0.9,0.9,0.6,0.7,0.5,0.8,1,0.5,0.8,0.5,0.8,1,0.9,0.5,13.3,0.6,0.8,0.7,0.7,0.7,0.6,0.6,,131.4,126.5
12:45,8.9,75.1,0.5,9.9,0.8,0.7,0.9,0.9,1,0.5,0.6,0.6,0.5,0.7,0.5,0.9,0.7,0.8,0.6,0.6,0.6,0.6,0.7,0.9,0.7,8.4,1,0.8,0.7,0.6,7.4,0.8,0.9,0.6,0.7,10.1,0.5,0.6,0.6,0.9,0.6,0.6,0.9,0.9,0.7,1,0.7,0.8,0.9,1,0.5,0.7,6.9,0.8,0.9,1,0.7,0.9,0.8,7.7,28.5,0.9,0.6,0.5,0.5,0.8,1,0.9,0.5,0.9,0.7,0.5,0.5,0.7,0.5,0.7,0.6,9,0.7,9.8,0.9,1,0.6,0.7,0.6,0.8,1,0.5,0.8,0.5,0.8,1,0.9,0.5,13.7,0.6,0.8,0.7,0.7,0.7,0.6,0.6,,135.2,125.4
13:00,9.1,76.7,0.5,9.5,0.8,0.6,0.9,0.9,1,0.5,0.6,0.6,0.5,0.7,0.5,0.8,0.7,0.8,0.6,0.6,0.6,0.6,0.7,0.9,0.7,8.1,0.9,0.8,0.7,0.6,7.1,0.7,0.9,0.6,0.7,9.7,0.5,0.6,0.6,0.9,0.6,0.6,0.9,0.9,0.7,1,0.6,0.8,0.9,0.9,0.5,0.7,6.6,0.8,0.8,0.9,0.7,0.9,0.8,7.5,29.1,0.8,0.6,0.5,0.5,0.8,1,0.9,0.5,0.9,0.7,0.5,0.5,0.7,0.5,0.7,0.6,9.3,0.7,9.4,0.9,0.9,0.6,0.7,0.5,0.8,1,0.5,0.8,0.5,0.8,1,0.9,0.5,14,0.6,0.8,0.7,0.7,0.7,0.6,0.6,,138.2,122
13:15,9.2,78,0.5,9.2,0.7,0.6,0.8,0.8,0.9,0.5,0.6,0.6,0.5,0.7,0.5,0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.9,0.6,7.8,0.9,0.7,0.7,0.6,6.9,0.7,0.9,0.6,0.7,9.4,0.5,0.6,0.6,0.9,0.6,0.5,0.9,0.9,0.7,0.9,0.6,0.8,0.9,0.9,0.5,0.7,6.4,0.8,0.8,0.9,0.6,0.8,0.8,7.2,29.6,0.8,0.6,0.5,0.5,0.8,0.9,0.9,0.5,0.9,0.7,0.5,0.5,0.7,0.5,0.7,0.6,9.4,0.7,9.1,0.8,0.9,0.6,0.7,0.5,0.8,0.9,0.5,0.8,0.5,0.8,0.9,0.9,0.5,14.2,0.6,0.8,0.7,0.7,0.6,0.6,0.6,,140.4,118.5
13:30,9.3,79,0.5,8.9,0.7,0.6,0.8,0.8,0.9,0.5,0.5,0.6,0.5,0.6,0.5,0.8,0.6,0.7,0.6,0.6,0.6,0.5,0.7,0.8,0.6,7.6,0.9,0.7,0.7,0.6,6.7,0.7,0.9,0.5,0.7,9.1,0.5,0.5,0.6,0.9,0.5,0.5,0.8,0.8,0.7,0.9,0.6,0.8,0.8,0.9,0.5,0.7,6.2,0.8,0.8,0.9,0.6,0.8,0.7,7,29.9,0.8,0.6,0.5,0.5,0.7,0.9,0.9,0.5,0.8,0.7,0.5,0.5,0.6,0.5,0.7,0.6,9.5,0.7,8.8,0.8,0.9,0.5,0.7,0.5,0.7,0.9,0.5,0.8,0.5,0.7,0.9,0.8,0.5,14.4,0.6,0.7,0.7,0.7,0.6,0.6,0.5,,142.1,114.7
13:45,9.4,79.5,0.4,8.7,0.7,0.6,0.8,0.8,0.9,0.5,0.5,0.6,0.5,0.6,0.5,0.8,0.6,0.7,0.5,0.6,0.6,0.5,0.6,0.8,0.6,7.4,0.8,0.7,0.6,0.5,6.5,0.7,0.8,0.5,0.6,8.9,0.5,0.5,0.6,0.8,0.5,0.5,0.8,0.8,0.6,0.9,0.6,0.8,0.8,0.8,0.5,0.7,6.1,0.7,0.8,0.8,0.6,0.8,0.7,6.8,30.2,0.8,0.5,0.4,0.5,0.7,0.9,0.8,0.5,0.8,0.6,0.5,0.4,0.6,0.5,0.6,0.5,9.6,0.6,8.6,0.8,0.9,0.5,0.6,0.5,0.7,0.9,0.4,0.7,0.4,0.7,0.9,0.8,0.5,14.5,0.6,0.7,0.6,0.7,0.6,0.6,0.5,,143.2,110.8
14:00,9.4,79.7,0.4,8.6,0.7,0.6,0.8,0.8,0.8,0.4,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.8,0.6,7.3,0.8,0.7,0.6,0.5,6.5,0.6,0.8,0.5,0.6,8.8,0.4,0.5,0.5,0.8,0.5,0.5,0.8,0.8,0.6,0.8,0.6,0.7,0.8,0.8,0.4,0.6,6,0.7,0.7,0.8,0.6,0.7,0.7,6.8,30.2,0.7,0.5,0.4,0.4,0.7,0.8,0.8,0.4,0.8,0.6,0.5,0.4,0.6,0.4,0.6,0.5,9.6,0.6,8.5,0.7,0.8,0.5,0.6,0.5,0.7,0.8,0.4,0.7,0.4,0.7,0.8,0.8,0.5,14.5,0.5,0.7,0.6,0.6,0.6,0.5,0.5,,143.4,107.6
